ISO3,Year_base,WAshare_base,OldDep_base
MNE,2017,0.6712032561689137,0.21993556945234036
MNG,2017,0.6630146437481285,0.06079691094395397
MOZ,2017,0.5205149956348133,0.0606765246787346
MRT,2017,0.5693398736342198,0.05512068527732202
MUS,2017,0.706671525161682,0.15488620717039675
MWI,2017,0.5303155862516932,0.05617759421409876
MYS,2017,0.6939374462596188,0.09067966883601886
NAM,2017,0.5975233187859786,0.05945240458890053
NCL,2017,0.6752710358183562,0.14741057213463632
NER,2017,0.4724831017311821,0.05403774890901215
NGA,2017,0.5325763511664281,0.05164904307219048
NIC,2017,0.6552210578358368,0.0831014092182165
NLD,2017,0.6480787262785296,0.28975776651855617
NOR,2017,0.6540479735393279,0.2571903255787145
NPL,2017,0.6329769413394943,0.09178027868089234
NZL,2017,0.6491247642811515,0.23603651204731912
